id;Check;State;Time
1;1;Start;04:20:18
2;1;Success;08:53:48
3;2;Start;09:29:40
4;2;Success;18:40:43
5;3;Start;17:47:22
6;3;Success;22:12:21
7;5;Start;05:14:08
8;5;Failure;09:16:30
9;6;Start;21:31:26
10;6;Success;22:08:44
11;8;Start;15:05:32
12;8;Success;21:12:52
13;10;Start;18:27:58
14;10;Failure;21:55:27
15;11;Start;09:07:57
16;11;Success;19:30:57
17;12;Start;14:37:24
18;12;Success;22:31:24
19;13;Start;16:51:31
20;13;Success;19:50:14
21;15;Start;23:54:02
22;15;Success;23:55:17
23;16;Start;03:04:51
24;16;Failure;13:07:08
25;18;Start;03:19:53
26;18;Success;06:29:46
27;23;Start;15:32:00
28;23;Success;19:47:51
29;25;Start;16:42:16
30;25;Failure;18:36:27
31;26;Start;20:02:27
32;26;Success;22:04:02
33;27;Start;01:46:47
34;27;Failure;13:08:14
35;29;Start;16:42:56
36;29;Success;17:14:07
37;32;Start;05:12:49
38;32;Success;08:47:57
39;34;Start;09:26:27
40;34;Success;18:21:05
41;35;Start;10:06:59
42;35;Success;10:19:09
43;37;Start;02:40:36
44;37;Failure;15:02:48
45;38;Start;14:08:56
46;38;Failure;17:20:10
47;39;Start;16:55:27
48;39;Failure;17:59:12
49;41;Start;03:37:28
50;41;Success;05:26:12
51;42;Start;01:39:16
52;42;Success;10:49:02
53;44;Start;17:27:38
54;44;Success;20:12:17
55;47;Start;09:37:14
56;47;Success;18:41:27
57;50;Start;09:00:58
58;50;Success;20:08:00
59;52;Start;07:59:10
60;52;Success;20:15:57
61;54;Start;02:16:47
62;54;Failure;17:44:07
63;55;Start;03:31:37
64;55;Failure;12:24:19
65;57;Start;23:48:06
66;57;Failure;23:51:53
67;60;Start;12:13:53
68;60;Success;19:13:09
69;62;Start;21:59:15
70;62;Success;23:23:04
71;64;Start;13:51:55
72;64;Failure;20:44:04
73;67;Start;06:40:08
74;67;Success;16:05:00
75;69;Start;12:56:01
76;69;Failure;15:39:57
77;70;Start;22:38:54
78;70;Success;23:39:24
79;74;Start;06:20:34
80;74;Success;16:36:14
81;75;Start;03:49:51
82;75;Failure;11:42:48
83;76;Start;12:06:25
84;76;Failure;20:51:32
85;77;Start;12:31:19
86;77;Success;23:25:29
87;79;Start;02:52:53
88;79;Success;18:02:16
